nohup: ignoring input
--- THE SOVEREIGN (METABOLIC REGULATOR) ONLINE ---
[16:51:07][SOVEREIGN] Balance: 208.92 MISO | Status: SOLVENT
[16:51:21][SOVEREIGN] Balance: 208.85 MISO | Status: SOLVENT
[16:51:23][SOVEREIGN] Balance: 208.84 MISO | Status: SOLVENT
[16:51:25][SOVEREIGN] Balance: 208.83 MISO | Status: SOLVENT
[16:51:39][SOVEREIGN] Balance: 208.76 MISO | Status: SOLVENT
[16:51:41][SOVEREIGN] Balance: 208.75 MISO | Status: SOLVENT
[16:52:07][SOVEREIGN] Balance: 208.62 MISO | Status: SOLVENT
[16:52:15][SOVEREIGN] Balance: 208.58 MISO | Status: SOLVENT
[16:52:25][SOVEREIGN] Balance: 208.53 MISO | Status: SOLVENT
[16:52:29][SOVEREIGN] Balance: 208.51 MISO | Status: SOLVENT
[16:52:31][SOVEREIGN] Balance: 208.5 MISO | Status: SOLVENT
[16:52:33][SOVEREIGN] Balance: 208.49 MISO | Status: SOLVENT
[16:52:41][SOVEREIGN] Balance: 208.45 MISO | Status: SOLVENT
[16:52:50][SOVEREIGN] Balance: 208.41 MISO | Status: SOLVENT
[16:53:28][SOVEREIGN] Balance: 208.22 MISO | Status: SOLVENT
[16:53:30][SOVEREIGN] Balance: 208.21 MISO | Status: SOLVENT
[16:53:36][SOVEREIGN] Balance: 208.18 MISO | Status: SOLVENT
[16:53:50][SOVEREIGN] Balance: 208.11 MISO | Status: SOLVENT
[16:53:52][SOVEREIGN] Balance: 208.1 MISO | Status: SOLVENT
[16:53:58][SOVEREIGN] Balance: 208.07 MISO | Status: SOLVENT
[16:54:12][SOVEREIGN] Balance: 208.0 MISO | Status: SOLVENT
[16:54:16][SOVEREIGN] Balance: 207.98 MISO | Status: SOLVENT
[16:54:28][SOVEREIGN] Balance: 207.92 MISO | Status: SOLVENT
[16:54:36][SOVEREIGN] Balance: 207.88 MISO | Status: SOLVENT
[16:54:44][SOVEREIGN] Balance: 207.84 MISO | Status: SOLVENT
[16:54:52][SOVEREIGN] Balance: 207.8 MISO | Status: SOLVENT
[16:54:58][SOVEREIGN] Balance: 207.77 MISO | Status: SOLVENT
[16:55:14][SOVEREIGN] Balance: 207.69 MISO | Status: SOLVENT
[16:55:20][SOVEREIGN] Balance: 207.66 MISO | Status: SOLVENT
[16:55:34][SOVEREIGN] Balance: 207.59 MISO | Status: SOLVENT
[16:55:58][SOVEREIGN] Balance: 207.47 MISO | Status: SOLVENT
[16:56:02][SOVEREIGN] Balance: 207.45 MISO | Status: SOLVENT
[16:56:04][SOVEREIGN] Balance: 207.44 MISO | Status: SOLVENT
[16:56:12][SOVEREIGN] Balance: 207.4 MISO | Status: SOLVENT
[16:56:22][SOVEREIGN] Balance: 207.35 MISO | Status: SOLVENT
[16:56:34][SOVEREIGN] Balance: 207.29 MISO | Status: SOLVENT
[16:56:36][SOVEREIGN] Balance: 207.28 MISO | Status: SOLVENT
[16:56:48][SOVEREIGN] Balance: 207.22 MISO | Status: SOLVENT
[16:56:56][SOVEREIGN] Balance: 207.18 MISO | Status: SOLVENT
[16:57:30][SOVEREIGN] Balance: 207.01 MISO | Status: SOLVENT
[16:57:34][SOVEREIGN] Balance: 206.99 MISO | Status: SOLVENT
[16:57:36][SOVEREIGN] Balance: 206.98 MISO | Status: SOLVENT
[16:57:40][SOVEREIGN] Balance: 206.96 MISO | Status: SOLVENT
[16:57:46][SOVEREIGN] Balance: 206.93 MISO | Status: SOLVENT
[16:57:56][SOVEREIGN] Balance: 206.88 MISO | Status: SOLVENT
[16:58:04][SOVEREIGN] Balance: 206.84 MISO | Status: SOLVENT
[16:58:06][SOVEREIGN] Balance: 206.83 MISO | Status: SOLVENT
[16:58:22][SOVEREIGN] Balance: 206.75 MISO | Status: SOLVENT
[16:58:28][SOVEREIGN] Balance: 206.72 MISO | Status: SOLVENT
[16:58:40][SOVEREIGN] Balance: 206.66 MISO | Status: SOLVENT
[16:58:42][SOVEREIGN] Balance: 206.65 MISO | Status: SOLVENT
[16:59:20][SOVEREIGN] Balance: 206.46 MISO | Status: SOLVENT
[16:59:32][SOVEREIGN] Balance: 206.4 MISO | Status: SOLVENT
[16:59:38][SOVEREIGN] Balance: 206.37 MISO | Status: SOLVENT
[16:59:42][SOVEREIGN] Balance: 206.35 MISO | Status: SOLVENT
[16:59:46][SOVEREIGN] Balance: 206.33 MISO | Status: SOLVENT
[16:59:56][SOVEREIGN] Balance: 206.28 MISO | Status: SOLVENT
[17:00:08][SOVEREIGN] Balance: 206.22 MISO | Status: SOLVENT
